book,chapter,verse,monad,text,ktv,phtext,phsep
Genesis,15,10,6839,אִישׁ־,,ʔîš-,
Genesis,15,10,6840,בִּתְרֹ֖ו ,,biṯrˌô, 
Genesis,23,13,10963,כֶּ֤סֶף ,,kˈesef, 
Genesis,23,13,10964,הַ,,ha,
Genesis,23,13,10965,שָּׂדֶה֙ ,,śśāḏˌeh, 
Genesis,30,18,15880,שְׂכָרִ֔י ,,śᵊḵārˈî, 
Genesis,30,26,15989,אֶת־,,ʔeṯ-,
Genesis,30,26,15990,נָשַׁ֣י ,,nāšˈay, 
Genesis,30,26,15991,וְ,,wᵊ,
Genesis,30,26,15992,אֶת־,,ʔeṯ-,
Genesis,30,26,15993,יְלָדַ֗י ,,yᵊlāḏˈay, 
Genesis,38,17,21145,עֵרָבֹ֖ון ,,ʕērāvˌôn, 
Genesis,38,28,21369,יָ֑ד ,,yˈāḏ, 
Genesis,41,10,22533,אֹתִ֜י ,,ʔōṯˈî, 
Genesis,41,10,22540,אֹתִ֕י ,,ʔōṯˈî, 
Genesis,41,10,22541,וְ,,wᵊ,
Genesis,41,10,22542,אֵ֖ת ,,ʔˌēṯ, 
Genesis,41,10,22543,שַׂ֥ר ,,śˌar, 
Genesis,41,10,22544,הָ,,hā,
Genesis,41,10,22545,אֹפִֽים׃ ,,ʔōfˈîm, . 
Genesis,42,30,23961,אֹתָ֔נוּ ,,ʔōṯˈānû, 
Genesis,43,24,24628,מַ֨יִם֙ ,,mˈayim, 
Genesis,45,2,25482,אֶת־,,ʔeṯ-,
Genesis,45,2,25483,קֹלֹ֖ו ,,qōlˌô, 
Genesis,47,19,27010,זֶ֗רַע ,,zˈeraʕ, 
Genesis,49,20,28033,מַֽעֲדַנֵּי־,,mˈaʕᵃḏannê-,
Genesis,49,20,28034,מֶֽלֶךְ׃ ס ,,mˈeleḵ . s, 
Exodus,2,9,29292,אֶת־,,ʔeṯ-,
Exodus,2,9,29293,שְׂכָרֵ֑ךְ ,,śᵊḵārˈēḵ, 
Exodus,3,19,30093,אֶתְכֶ֛ם ,,ʔeṯᵊḵˈem, 
Exodus,3,21,30125,אֶת־,,ʔeṯ-,
Exodus,3,21,30126,חֵ֥ן ,,ḥˌēn, 
Exodus,3,21,30127,הָֽ,,hˈā,
Exodus,3,21,30128,עָם־,,ʕām-,
Exodus,3,21,30129,הַ,,ha,
Exodus,3,21,30130,זֶּ֖ה ,,zzˌeh, 
Exodus,5,18,31147,תֹ֥כֶן ,,ṯˌōḵen, 
Exodus,5,18,31148,לְבֵנִ֖ים ,,lᵊvēnˌîm, 
Exodus,7,4,31841,אֶת־,,ʔeṯ-,
Exodus,7,4,31842,יָדִ֖י ,,yāḏˌî, 
Exodus,9,23,33521,קֹלֹת֙ ,,qōlˌōṯ, 
Exodus,9,23,33522,וּ,,û,
Exodus,9,23,33523,בָרָ֔ד ,,vārˈāḏ, 
Exodus,12,23,35237,הַ,,ha,
Exodus,12,23,35238,מַּשְׁחִ֔ית ,,mmašḥˈîṯ, 
Exodus,16,33,38063,מְלֹֽא־,,mᵊlˈō-,
Exodus,16,33,38064,הָ,,hā,
Exodus,16,33,38065,עֹ֖מֶר ,,ʕˌōmer, 
Exodus,16,33,38066,מָ֑ן ,,mˈān, 
Exodus,21,19,40286,רַ֥ק ,,rˌaq, 
Exodus,21,19,40287,שִׁבְתֹּ֛ו ,,šivtˈô, 
