book,chapter,verse,monad,text,ktv,phtext,phsep
Genesis,30,2,15631,מָנַ֥ע ,,mānˌaʕ, 
Genesis,30,2,15632,מִמֵּ֖ךְ ,,mimmˌēḵ, 
Reges_I,20,7,192088,מָנַ֖עְתִּי ,,mānˌaʕtî, 
Reges_I,20,7,192089,מִמֶּֽנּוּ׃ ,,mimmˈennû, . 
Jeremia,2,25,235790,מִנְעִ֤י ,,minʕˈî, 
Jeremia,2,25,235792,מִ,,mi,
Jeremia,5,25,237575,מָנְע֥וּ ,,mānᵊʕˌû, 
Jeremia,5,25,237578,מִכֶּֽם׃ ,,mikkˈem, . 
Jeremia,31,16,250932,מִנְעִ֤י ,,minʕˈî, 
Jeremia,31,16,250934,מִ,,mi,
Jeremia,42,4,257892,אֶמְנַ֥ע ,,ʔemnˌaʕ, 
Jeremia,42,4,257893,מִכֶּ֖ם ,,mikkˌem, 
Jeremia,48,10,260515,מֹנֵ֥עַ ,,mōnˌēₐʕ, 
Jeremia,48,10,260517,מִ,,mi,
Amos,4,7,296347,מָנַ֨עְתִּי ,,mānˌaʕtî, 
Amos,4,7,296348,מִכֶּ֜ם ,,mikkˈem, 
Iob,22,7,341552,מֵ,,mē,
Iob,22,7,341554,תִּֽמְנַֽע־,,tˈimnˈaʕ-,
Iob,31,16,343550,אֶ֭מְנַע ,,ˈʔemnaʕ, 
Iob,31,16,343551,מֵ,,mē,
Proverbia,1,15,347061,מְנַ֥ע ,,mᵊnˌaʕ, 
Proverbia,1,15,347063,מִ,,mi,
Proverbia,3,27,347687,תִּמְנַע־,,timnaʕ-,
Proverbia,3,27,347689,מִ,,mi,
Proverbia,23,13,353120,תִּמְנַ֣ע ,,timnˈaʕ, 
Proverbia,23,13,353121,מִ,,mi,
Proverbia,30,7,355200,תִּמְנַ֥ע ,,timnˌaʕ, 
Proverbia,30,7,355201,מִ֝מֶּ֗נִּי ,,ˈmimmˈennî, 
Ecclesiastes,2,10,359746,מָנַ֨עְתִּי ,,mānˌaʕtî, 
Ecclesiastes,2,10,359749,מִ,,mi,
Nehemia,9,20,388233,מָנַ֣עְתָּ ,,mānˈaʕtā, 
Nehemia,9,20,388234,מִ,,mi,
