book,chapter,verse,monad,text,ktv,phtext,phsep
Genesis,6,18,2952,אַתָּ֕ה ,,ʔattˈā, 
Genesis,6,18,2953,וּ,,û,
Genesis,6,18,2954,בָנֶ֛יךָ ,,vānˈeʸḵā, 
Genesis,6,18,2955,וְ,,wᵊ,
Genesis,6,18,2956,אִשְׁתְּךָ֥ ,,ʔištᵊḵˌā, 
Genesis,6,18,2957,וּ,,û,
Genesis,6,18,2958,נְשֵֽׁי־,,nᵊšˈê-,
Genesis,6,18,2959,בָנֶ֖יךָ ,,vānˌeʸḵā, 
Genesis,7,1,3044,אַתָּ֥ה ,,ʔattˌā, 
Genesis,7,1,3045,וְ,,wᵊ,
Genesis,7,1,3046,כָל־,,ḵol-,
Genesis,7,1,3047,בֵּיתְךָ֖ ,,bêṯᵊḵˌā, 
Genesis,8,16,3863,אַתָּ֕ה ,,ʔattˈā, 
Genesis,8,16,3864,וְ,,wᵊ,
Genesis,8,16,3865,אִשְׁתְּךָ֛ ,,ʔištᵊḵˈā, 
Genesis,8,16,3866,וּ,,û,
Genesis,8,16,3867,בָנֶ֥יךָ ,,vānˌeʸḵā, 
Genesis,8,16,3868,וּ,,û,
Genesis,8,16,3869,נְשֵֽׁי־,,nᵊšˈê-,
Genesis,8,16,3870,בָנֶ֖יךָ ,,vānˌeʸḵā, 
Genesis,13,1,5871,ה֠וּא ,,hû, 
Genesis,13,1,5872,וְ,,wᵊ,
Genesis,13,1,5873,אִשְׁתֹּ֧ו ,,ʔištˈô, 
Genesis,13,1,5874,וְ,,wᵊ,
Genesis,13,1,5875,כָל־,,ḵol-,
Genesis,14,15,6494,ה֥וּא ,,hˌû, 
Genesis,14,15,6495,וַ,,wa,
Genesis,14,15,6496,עֲבָדָ֖יו ,,ʕᵃvāḏˌāʸw, 
Genesis,17,9,7470,אַתָּ֛ה ,,ʔattˈā, 
Genesis,17,9,7471,וְ,,wᵊ,
Genesis,17,9,7472,זַרְעֲךָ֥ ,,zarʕᵃḵˌā, 
Genesis,19,30,9085,ה֖וּא ,,hˌû, 
Genesis,19,30,9086,וּ,,û,
Genesis,19,30,9087,שְׁתֵּ֥י ,,šᵊttˌê, 
Genesis,19,30,9088,בְנֹתָֽיו׃ ,,vᵊnōṯˈāʸw, . 
Genesis,33,6,18188,הֵ֥נָּה ,,hˌēnnā, 
Genesis,33,6,18189,וְ,,wᵊ,
Genesis,33,6,18190,יַלְדֵיהֶ֖ן ,,yalᵊḏêhˌen, 
Genesis,34,30,19034,אֲנִ֥י ,,ʔᵃnˌî, 
Genesis,34,30,19035,וּ,,û,
Genesis,34,30,19036,בֵיתִֽי׃ ,,vêṯˈî, . 
Genesis,42,35,24062,הֵ֥מָּה ,,hˌēmmā, 
Genesis,42,35,24063,וַ,,wa,
Genesis,42,35,24064,אֲבִיהֶ֖ם ,,ʔᵃvîhˌem, 
Genesis,44,3,24889,הֵ֖מָּה ,,hˌēmmā, 
Genesis,44,3,24890,וַ,,wa,
Genesis,44,3,24891,חֲמֹרֵיהֶֽם׃ ,,ḥᵃmōrêhˈem, . 
Genesis,45,10,25651,אַתָּ֕ה ,,ʔattˈā, 
Genesis,45,10,25652,וּ,,û,
Genesis,45,10,25653,בָנֶ֖יךָ ,,vānˌeʸḵā, 
Genesis,45,10,25654,וּ,,û,
Genesis,45,10,25655,בְנֵ֣י ,,vᵊnˈê, 
Genesis,45,10,25656,בָנֶ֑יךָ ,,vānˈeʸḵā, 
Genesis,45,10,25657,וְ,,wᵊ,
Genesis,45,10,25658,צֹאנְךָ֥ ,,ṣōnᵊḵˌā, 
Genesis,45,10,25659,וּ,,û,
Genesis,45,10,25660,בְקָרְךָ֖ ,,vᵊqārᵊḵˌā, 
Genesis,45,10,25661,וְ,,wᵊ,
Genesis,45,10,25662,כָל־,,ḵol-,
Genesis,45,11,25676,אַתָּ֥ה ,,ʔattˌā, 
Genesis,45,11,25677,וּ,,û,
Genesis,45,11,25678,בֵֽיתְךָ֖ ,,vˈêṯᵊḵˌā, 
Genesis,45,11,25679,וְ,,wᵊ,
Genesis,45,11,25680,כָל־,,ḵol-,
Genesis,47,19,27002,אֲנַ֤חְנוּ ,,ʔᵃnˈaḥnû, 
Genesis,47,19,27003,וְ,,wᵊ,
Genesis,47,19,27004,אַדְמָתֵ֨נוּ֙ ,,ʔaḏmāṯˈēnû, 
Genesis,50,14,28521,ה֣וּא ,,hˈû, 
Genesis,50,14,28522,וְ,,wᵊ,
Genesis,50,14,28523,אֶחָ֔יו ,,ʔeḥˈāʸw, 
Genesis,50,14,28524,וְ,,wᵊ,
Genesis,50,14,28525,כָל־,,ḵol-,
Genesis,50,22,28669,ה֖וּא ,,hˌû, 
Genesis,50,22,28670,וּ,,û,
Genesis,50,22,28671,בֵ֣ית ,,vˈêṯ, 
Genesis,50,22,28672,אָבִ֑יו ,,ʔāvˈiʸw, 
Exodus,9,27,33626,אֲנִ֥י ,,ʔᵃnˌî, 
Exodus,9,27,33627,וְ,,wᵊ,
Exodus,9,27,33628,עַמִּ֖י ,,ʕammˌî, 
Exodus,9,30,33681,אַתָּ֖ה ,,ʔattˌā, 
Exodus,9,30,33682,וַ,,wa,
