book,chapter,verse,monad,text,ktv,phtext,phsep
Genesis,11,31,5434,יִּקַּ֨ח ,,yyiqqˌaḥ, 
Genesis,11,31,5448,שָׂרַ֣י ,,śārˈay, 
Genesis,12,5,5556,יִּקַּ֣ח ,,yyiqqˈaḥ, 
Genesis,12,5,5559,שָׂרַ֨י ,,śārˌay, 
Genesis,16,3,7071,תִּקַּ֞ח ,,ttiqqˈaḥ, 
Genesis,16,3,7076,הָגָ֤ר ,,hāḡˈār, 
Genesis,20,2,9279,יִּקַּ֖ח ,,yyiqqˌaḥ, 
Genesis,20,2,9281,שָׂרָֽה׃ ,,śārˈā, . 
Genesis,24,61,12305,יִּקַּ֥ח ,,yyiqqˌaḥ, 
Genesis,24,61,12309,רִבְקָ֖ה ,,rivqˌā, 
Genesis,24,67,12410,יִּקַּ֧ח ,,yyiqqˈaḥ, 
Genesis,24,67,12412,רִבְקָ֛ה ,,rivqˈā, 
Genesis,26,34,13611,יִּקַּ֤ח ,,yyiqqˈaḥ, 
Genesis,26,34,13614,יְהוּדִ֔ית ,,yᵊhûḏˈîṯ, 
Genesis,26,34,13621,בָּ֣שְׂמַ֔ת ,,bˈāśᵊmˈaṯ, 
Genesis,28,9,14655,יִּקַּ֡ח ,,yyiqqˈaḥ, 
Genesis,28,9,14657,מָחֲלַ֣ת׀ ,,māḥᵃlˈaṯ, 
Genesis,29,23,15359,יִּקַּח֙ ,,yyiqqˌaḥ, 
Genesis,29,23,15361,לֵאָ֣ה ,,lēʔˈā, 
Genesis,30,9,15724,תִּקַּח֙ ,,ttiqqˌaḥ, 
Genesis,30,9,15726,זִלְפָּ֣ה ,,zilpˈā, 
Genesis,34,26,18937,יִּקְח֧וּ ,,yyiqḥˈû, 
Genesis,34,26,18939,דִּינָ֛ה ,,dînˈā, 
Exodus,6,20,31600,יִּקַּ֨ח ,,yyiqqˌaḥ, 
Exodus,6,20,31603,יֹוכֶ֤בֶד ,,yôḵˈeveḏ, 
Exodus,6,23,31643,יִּקַּ֨ח ,,yyiqqˌaḥ, 
Exodus,6,23,31646,אֱלִישֶׁ֧בַע ,,ʔᵉlîšˈevaʕ, 
Exodus,18,2,38505,יִּקַּ֗ח ,,yyiqqˈaḥ, 
Exodus,18,2,38510,צִפֹּרָ֖ה ,,ṣippōrˌā, 
Samuel_II,21,8,173895,יִּקַּ֣ח ,,yyiqqˈaḥ, 
Samuel_II,21,8,173901,רִצְפָּ֤ה ,,riṣpˈā, 
Reges_I,4,15,179279,לָקַ֛ח ,,lāqˈaḥ, 
Reges_I,4,15,179281,בָּשְׂמַ֥ת ,,bośmˌaṯ, 
Reges_I,16,31,189730,יִּקַּ֨ח ,,yyiqqˌaḥ, 
Reges_I,16,31,189733,אִיזֶ֗בֶל ,,ʔîzˈevel, 
Hosea,1,3,290972,יִּקַּ֔ח ,,yyiqqˈaḥ, 
Hosea,1,3,290974,גֹּ֖מֶר ,,gˌōmer, 
Ruth,4,13,357447,יִּקַּ֨ח ,,yyiqqˌaḥ, 
Ruth,4,13,357450,רוּת֙ ,,rûṯ, 
Chronica_I,2,19,392058,יִּֽקַּֽח־,,yyˈiqqˈaḥ-,
Chronica_I,2,19,392062,אֶפְרָ֔ת ,,ʔefrˈāṯ, 
Chronica_II,11,18,412492,יִּֽקַּֽח־,,yyˈiqqˈaḥ-,
Chronica_II,11,18,412497,מָ֣חֲלַ֔ת ,,mˈāḥᵃlˈaṯ, 
Chronica_II,11,18,412502,אֲבִיהַ֕יִל ,,ʔᵃvîhˈayil, 
