########################################################################
#                                                                      #
#	lexicon: all lexemes in biblical Aramaic                       #
#                                                                      #
########################################################################
#ident "@(#)lexicon	1.23 18/01/05"
"BBL/"		sp=nmpr:sm=topo:vc=B.@BEL:gl=Babylon
"BBLJ/"		sp=adjv:ls=gntl:vc=B.@B\:L@J:gl=Babylonian
"BDR["		sp=verb:vc=B.\:DAR:gl=scatter
"BHJLW/"	sp=subs:gn=f:vc=B.\:HIJLW.:gl=haste
"BHL["		sp=verb:vc=B.\:HAL:gl=disturb
"BVL["		sp=verb:vc=B.\:V;L:gl=be idle
"BJN/"		sp=subs:ls=ppre:vc=B.;JN:gl=between
"BJNH/"		sp=subs:vc=B.IJN@H:gl=discernment
"BJRH/"		sp=subs:vc=B.IJR@H:gl=fortified place
"BJT["		sp=verb:vc=B.IJT:gl=spend the night
"BJT/"		sp=subs:gn=m:vc=B.AJIT:gl=house
"BL/"		sp=subs:gn=m:vc=B.@L:gl=mind
"BLH["		sp=verb:vc=B.\:L@H:gl=wear out
"BLW/"		sp=subs:gn=m:vc=B.\:LOW:gl=tribute
"BLVC>YR/"	sp=nmpr:sm=pers:gn=m:vc=B.;L\:V\:CA>Y.AR:gl=Belteshazzar
"BLC>YR/"	sp=nmpr:sm=pers:gn=m:vc=B.;L\:CA>Y.AR:gl=Belshazzar
"BNH["		sp=verb:vc=B.\:N@H:gl=build
"BNJN/"		sp=subs:gn=m:vc=B.IN\:J@N:gl=building
"BNS["		sp=verb:vc=B.\:NAS:gl=become angry
"B<H["		sp=verb:vc=B.\:<@H:gl=seek
"B<W/"		sp=subs:gn=f:vc=B.@<W.:gl=request
"B<L/"		sp=subs:gn=m:vc=B.\:<;L:gl=master
"BQ<H/"		sp=subs:vc=B.IQ\:<@H:gl=plain
"BQR["		sp=verb:vc=B.\:QAR:gl=search
"BR/"		sp=subs:gn=m:vc=B.AR:gl=son
"BR=/"		sp=subs:gn=m:vc=B.AR:gl=field
"BRK["		sp=verb:vc=B.\:RAK\::gl=bless
"BRK/"		sp=subs:gn=f:vc=B.\:RAK\::gl=knee
"BRK=["		sp=verb:vc=B.\:RAK\::gl=kneel
"BRM"		sp=advb:vc=B.\:RAM:gl=but
"BFR/"		sp=subs:gn=m:vc=B.\:FAR:gl=flesh
"BT/"		sp=subs:vc=B.AT:gl=bath
"GB/"		sp=subs:gn=m:vc=G.AB:gl=side
"GB=/"		sp=subs:gn=m:vc=G.OB:gl=pit
"GBWRH/"	sp=subs:vc=G.\:BW.R@H:gl=power
"GBR/"		sp=subs:gn=m:vc=G.\:BAR:gl=man
"GBR=/"		sp=subs:vc=G.IB.@R:gl=strong man
"GDBR/"		sp=subs:vc=G.\:D@BAR:gl=treasurer
"GDD["		sp=verb:vc=G.\:DAD:gl=cut down
"GW>/"		sp=subs:gn=m:vc=G.OW>:gl=interior
"GWH/"		sp=subs:vc=G.;W@H:gl=arrogance
"GWX["		sp=verb:vc=G.W.XA:gl=stir up
"GZBR/"		sp=subs:vc=G.IZ\:B.AR:gl=treasurer
"GZR["		sp=verb:vc=G.\:ZAR:gl=cut
"GZRH/"		sp=subs:vc=G.\:Z;R@H:gl=decision
"GJR/"		sp=subs:gn=m:vc=G.IJR:gl=plaster
"GLGL/"		sp=subs:vc=G.AL\:G.AL:gl=wheel
"GLH["		sp=verb:vc=G.\:L@H:gl=reveal
"GLW/"		sp=subs:vc=G.@LW.:gl=exile
"GLL/"		sp=subs:gn=m:vc=G.\:L@L:gl=<uncertain>
"GMR["		sp=verb:vc=G.\:MAR:gl=bring to an end
"GNZ/"		sp=subs:vc=G.\:NAZ:gl=treasure
"GP/"		sp=subs:gn=f:vc=G.AP:gl=wing
"GRM/"		sp=subs:vc=G.\:RAM:gl=bone
"GCM/"		sp=subs:gn=m:vc=G.\:C;M:gl=body
"D>"		sp=prde:nu=s:gn=f:vc=D.@>:gl=this
"DB/"		sp=subs:gn=m:vc=D.OB:gl=bear
"DBX["		sp=verb:vc=D.\:BAX:gl=sacrifice
"DBX/"		sp=subs:vc=D.\:BAX:gl=sacrifice
"DBQ["		sp=verb:vc=D.\:B;Q:gl=adhere
"DBRH/"		sp=subs:vc=D.IB\:R@H:gl=matter
"DHB/"		sp=subs:gn=m:vc=D.\:HAB:gl=gold
"DHJ/"		sp=adjv:ls=gntl:vc=D.EH@J:gl=Dehite
"DWQ["		sp=verb:vc=D.W.Q:gl=pulverise
"DWR["		sp=verb:vc=D.W.R:gl=dwell
