########################################################################
#                                                                      #
#	lexicon: all lexemes in biblical Aramaic                       #
#                                                                      #
########################################################################
#ident "@(#)lexicon	1.23 18/01/05"
"MCX/"		sp=subs:gn=m:vc=M\:CAX:gl=oil
"MCKB/"		sp=subs:gn=m:vc=MIC\:K.AB:gl=bed
"MCKN/"		sp=subs:gn=m:vc=MIC\:K.AN:gl=abode
"MCRWQJ/"	sp=subs:vc=MAC\:ROWQIJ:gl=pipe
"MCT>/"		sp=subs:gn=m:vc=MIC\:T.;>:gl=banquet
"MTNH/"		sp=subs:vc=MAT.\:N@H:gl=gift
"NB>["		sp=verb:vc=N\:B@>:gl=prophesy
"NBW>H/"	sp=subs:vc=N\:BW.>@H:gl=prophecy
"NBWKDNYR/"	sp=nmpr:sm=pers:gn=m:vc=N\:BW.KAD\:NEY.AR:gl=Nebuchadnezzar
"NBZBH/"	sp=subs:vc=N\:BIZ\:B.@H:gl=present
"NBJ>/"		sp=subs:gn=m:vc=N\:BIJ>:gl=prophet
"NBRCH/"	sp=subs:vc=NEB\:R\:C@H:gl=lamp
"NGD["		sp=verb:vc=N\:GAD:gl=flow
"NGD/"		sp=subs:ls=ppre:vc=NEGED:gl=toward
"NGH/"		sp=subs:gn=f:vc=N\:GAH.:gl=dawn
"NDB["		sp=verb:vc=N\:DAB:gl=be willing
"NDBK/"		sp=subs:gn=m:vc=NID\:B.@K\::gl=layer
"NDD["		sp=verb:vc=N\:DAD:gl=flee
"NDNH/"		sp=subs:gn=m:vc=NID\:NEH:gl=sheath
"NHWR/"		sp=subs:gn=m:vc=N\:HOWR:gl=light
"NHJRW/"	sp=subs:gn=f:vc=NAHIJRW.:gl=brilliance
"NHR/"		sp=subs:gn=m:vc=N\:HAR:gl=river
"NWD["		sp=verb:vc=NW.D:gl=flee
"NWLW/"		sp=subs:gn=f:vc=N\:W@LW.:gl=dunghill
"NWR/"		sp=subs:vc=NW.R:gl=fire
"NZQ["		sp=verb:vc=N\:ZAQ:gl=suffer
"NXC/"		sp=subs:gn=m:vc=N\:X@C:gl=copper
"NXT["		sp=verb:vc=N\:X;T:gl=come down
"NVL["		sp=verb:vc=N\:VAL:gl=lift up
"NVR["		sp=verb:vc=N\:VAR:gl=guard
"NJXWX/"	sp=subs:vc=NIJXOWXA:gl=incense
"NKS/"		sp=subs:vc=N\:KAS:gl=possession
"NMR/"		sp=subs:gn=m:vc=N\:MAR:gl=panther
"NSX["		sp=verb:vc=N\:SAX:gl=pull out
"NSK["		sp=verb:vc=N\:SAK\::gl=poor out
"NSK/"		sp=subs:vc=N\:SAK\::gl=libation
"NPL["		sp=verb:vc=N\:PAL:gl=fall
"NPQ["		sp=verb:vc=N\:PAQ:gl=go out
"NPQH/"		sp=subs:vc=NIP\:Q@H:gl=expenses
"NYBH/"		sp=subs:vc=NIY\:B.@H:gl=planting
"NYX["		sp=verb:vc=N\:YAX:gl=shine
"NYL["		sp=verb:vc=N\:YAL:gl=save
"NQ>/"		sp=adjv:vc=N\:Q;>:gl=pure
"NQC["		sp=verb:vc=N\:QAC:gl=knock
"NF>["		sp=verb:vc=N\:F@>:gl=take
"NCJN/"		sp=subs:gn=f:vc=N\:CIJN:gl=women
"NCMH/"		sp=subs:vc=NIC\:M@H:gl=breath
"NCR/"		sp=subs:gn=m:vc=N\:CAR:gl=eagle
"NCTWN/"	sp=subs:gn=m:vc=NIC\:T.\:W@N:gl=decree
"NTJN/"		sp=subs:vc=N\:TIJN:gl=temple servant
"NTN["		sp=verb:vc=N\:TAN:gl=give
"NTR["		sp=verb:vc=N\:TAR:gl=drop
"SBL["		sp=verb:vc=S\:BAL:gl=carry
"SBR["		sp=verb:vc=S\:BAR:gl=intend
"SGD["		sp=verb:vc=S\:GID:gl=bow
"SGN/"		sp=subs:vc=S\:GAN:gl=prefect
"SGR["		sp=verb:vc=S\:AGAR:gl=lock
"SWMPNJH/"	sp=subs:vc=SW.M\:P.ON\:J@H:gl=symphony
"SWP["		sp=verb:vc=SW.P:gl=end
"SWP/"		sp=subs:gn=m:vc=SOWP:gl=end
"SLQ["		sp=verb:vc=S\:L;Q:gl=go up
"S<D["		sp=verb:vc=S\:<AD:gl=support
"SPR/"		sp=subs:gn=m:vc=S\:PAR:gl=book
"SPR=/"		sp=subs:gn=m:vc=S@PAR:gl=scribe
"SRBL/"		sp=subs:vc=SAR\:B.@L:gl=trousers
"SRK/"		sp=subs:vc=S@RAK\::gl=high official
"STR["		sp=verb:vc=S\:TAR:gl=hide
"STR=["		sp=verb:vc=S\:TAR:gl=demolish
"<BD["		sp=verb:vc=<\:ABAD:gl=do
"<BD/"		sp=subs:gn=m:vc=<\:AB;D:gl=servant
"<BD_NGW/"	sp=nmpr:sm=pers:gn=m:vc=<\:AB;D_N\:GOW:gl=Abed-Nego
"<BJDH/"	sp=subs:vc=<\:ABIJDAH:gl=work
"<BR/"		sp=subs:ls=ppre:gn=m:vc=<\:ABAR:gl=opposite bank
"<D"		sp=prep:vc=<AD:gl=until
"<DH["		sp=verb:vc=<\:AD@H:gl=go
"<DW>/"		sp=nmpr:sm=pers:gn=m:vc=<ID.OW>:gl=Iddo
"<DN/"		sp=subs:gn=m:vc=<ID.@N:gl=time
"<WD/"		sp=subs:ls=padv:vc=<OWD:gl=still
"<WJH/"		sp=subs:vc=<\:AW@J@H:gl=iniquity
"<WP/"		sp=subs:gn=m:vc=<OWP:gl=bird
"<WR/"		sp=subs:gn=m:vc=<W.R:gl=chaff
"<Z/"		sp=subs:gn=f:vc=<;Z:gl=goat
"<ZQH/"		sp=subs:vc=<IZ\:Q@H:gl=seal ring
"<ZR>/"		sp=nmpr:sm=pers:gn=m:vc=<EZ\:R@>:gl=Ezra
"<ZRJH/"	sp=nmpr:sm=pers:gn=m:vc=<\:AZAR\:J@H:gl=Azariah
"<VH/"		sp=subs:gn=f:vc=<;V@H:gl=advice
"<JN/"		sp=subs:gn=f:vc=<AJIN:gl=eye
"<JR/"		sp=subs:gn=m:vc=<IJR:gl=angel
"<L"		sp=prep:vc=<AL:gl=upon
"<L>"		sp=advb:vc=<;L.@>:gl=above
"<LH/"		sp=subs:vc=<IL.@H:gl=pretext
"<LWH/"		sp=subs:vc=<AL\:W@H:gl=sacrifice
"<LJ/"		sp=adjv:vc=<IL.@J:gl=highest
"<LJ=/"		sp=subs:vc=<IL.IJ:gl=upper room
"<LJWN/"	sp=adjv:vc=<EL\:JOWN:gl=most high
"<LL["		sp=verb:vc=<\:ALAL:gl=enter
"<LM/"		sp=subs:gn=m:vc=<@LAM:gl=eternity
"<LMJ/"		sp=adjv:ls=gntl:vc=<;L@MIJ:gl=Elamite
"<L</"		sp=subs:gn=f:vc=<\:ALA<:gl=rib
"<M"		sp=prep:vc=<IM:gl=with
"<M/"		sp=subs:gn=m:vc=<AM:gl=people
"<MJQ/"		sp=adjv:vc=<AM.IJQ:gl=deep
"<MR/"		sp=subs:gn=m:vc=<\:AMAR:gl=wool
"<NH["		sp=verb:vc=<\:AN@H:gl=answer
"<NH/"		sp=adjv:vc=<\:AN;H:gl=humble
"<NN/"		sp=subs:vc=<\:AN@N:gl=cloud
"<NP/"		sp=subs:vc=<\:ANAP:gl=branch
"<NC/"		sp=subs:gn=m:vc=<\:AN@C:gl=fine
"<PJ/"		sp=subs:gn=m:vc=<\:@PIJ:gl=foliage
"<YJB/"		sp=adjv:vc=<\:AYIJB:gl=sad
"<QR["		sp=verb:vc=<\:AQAR:gl=pluck out
"<QR/"		sp=subs:gn=m:vc=<IQ.AR:gl=offshoot
"<R/"		sp=subs:vc=<@R:gl=adversary
"<RB["		sp=verb:vc=<\:ARAB:gl=mix
"<RD/"		sp=subs:vc=<\:AR@D:gl=wild ass
"<RWH/"		sp=subs:vc=<AR\:W@H:gl=nakedness
"<FB/"		sp=subs:gn=m:vc=<\:AFAB:gl=grass
"<FR/"		sp=subs:ls=card:vc=<\:AFAR:gl=ten
"<FRJN/"	sp=subs:ls=card:vc=<EF\:RIJN:gl=twenty
"<CT["		sp=verb:vc=<\:ACIT:gl=intend
"<TJD/"		sp=adjv:vc=<\:ATIJD:gl=ready
"<TJQ/"		sp=adjv:vc=<AT.IJQ:gl=old
"PXH/"		sp=subs:gn=m:vc=P.EX@H:gl=governor
"PXR/"		sp=subs:gn=m:vc=P.EX@R:gl=potter
"PVC/"		sp=subs:gn=m:rt=PVC:vc=P.\:VAC:gl=legging
"PLG["		sp=verb:vc=P.\:LAG:gl=divide
"PLG/"		sp=subs:gn=m:vc=P.\:LAG:gl=half
"PLGH/"		sp=subs:vc=P.\:LUG.@H:gl=division
"PLX["		sp=verb:vc=P.\:LAX:gl=serve
"PLXN/"		sp=subs:gn=m:vc=P.@L\:X@N:gl=service
"PM/"		sp=subs:gn=m:vc=P.UM:gl=mouth
"PS/"		sp=subs:gn=m:vc=P.AS:gl=palm
"PSNTRJN/"	sp=subs:gn=m:vc=P.\:SAN\:T.;RIJN:gl=psaltery
"PRZL/"		sp=subs:gn=m:vc=P.AR\:ZEL:gl=iron
"PRS["		sp=verb:vc=P.\:RAS:gl=divide
"PRS/"		sp=nmpr:sm=topo:vc=P.@RAS:gl=Persia
"PRS=/"		sp=subs:gn=m:vc=P.\:R;S:gl=half-shekel
"PRSJ/"		sp=adjv:ls=gntl:vc=P.AR\:S@J:gl=Persian
"PRQ["		sp=verb:vc=P.\:RAQ:gl=atone
"PRC["		sp=verb:vc=P.\:RAC:gl=interpret
"PRCGN/"	sp=subs:gn=m:vc=P.AR\:CEGEN:gl=copy
"PCR["		sp=verb:vc=P.\:CAR:gl=interpret
"PCR/"		sp=subs:gn=m:vc=P.\:CAR:gl=interpretation
"PTGM/"		sp=subs:gn=m:vc=P.IT\:G@M:gl=word
"PTX["		sp=verb:vc=P.\:TAX:gl=open
"PTJ/"		sp=subs:gn=m:vc=P.\:T@J:gl=breadth
"YBH["		sp=verb:vc=Y\:B@H:gl=desire
"YBW/"		sp=subs:gn=f:vc=Y\:BW.:gl=thing
"YB<["		sp=verb:vc=Y\:BA<:gl=wet
"YD/"		sp=subs:gn=m:vc=YAD:gl=side
"YD>"		sp=advb:vc=Y\:D@>:gl=really
"YDQH/"		sp=subs:vc=YID\:Q@H:gl=charity
"YW>R/"		sp=subs:gn=m:vc=YAW.A>R:gl=neck
"YLH["		sp=verb:vc=Y\:L@H:gl=pray
"YLX["		sp=verb:vc=Y\:LAX:gl=prosper
"YLM/"		sp=subs:gn=m:vc=Y\:L;M:gl=statue
"YPJR/"		sp=subs:vc=Y\:PIJR:gl=he-goat
"YPR/"		sp=subs:gn=f:vc=YIP.AR:gl=bird
"QBL["		sp=verb:vc=Q\:BAL:gl=receive
"QBL/"		sp=subs:ls=ppre:vc=Q\:@B;L:gl=opposite
"QDJC/"		sp=adjv:vc=QAD.IJC:gl=holy
"QDM/"		sp=subs:ls=ppre:vc=Q\:@D@M:gl=before
"QDMH/"		sp=subs:ls=ppre:vc=QAD\:M@H:gl=former time
"QDMJ/"		sp=adjv:ls=ordn:vc=QAD\:M@J:gl=first
"QWM["		sp=verb:vc=QW.M:gl=stand
"QVL["		sp=verb:vc=Q\:VAL:gl=kill
"QVR/"		sp=subs:vc=Q\:VAR:gl=knot
"QJV/"		sp=subs:gn=m:vc=QAJIV:gl=summer
"QJM/"		sp=adjv:vc=QAJ.@M:gl=during
"QJM=/"		sp=subs:gn=m:vc=Q\:J@M:gl=statute
"QL/"		sp=subs:gn=m:vc=Q@L:gl=voice
"QNH["		sp=verb:vc=Q\:N@H:gl=buy
"QYP["		sp=verb:vc=Q\:YAP:gl=get angry
"QYP/"		sp=subs:gn=m:vc=Q\:YAP:gl=wrath
"QYY["		sp=verb:vc=Q\:YAY:gl=cut off
"QYT/"		sp=subs:gn=f:vc=Q\:Y@T:gl=end
"QR>["		sp=verb:vc=Q\:R@>:gl=call
"QRB["		sp=verb:vc=Q\:R;B:gl=approach
"QRB/"		sp=subs:gn=m:vc=Q\:R@B:gl=war
"QRJH/"		sp=subs:vc=QIR\:J@H:gl=city
"QRN/"		sp=subs:gn=f:vc=QEREN:gl=horn
"QRY/"		sp=subs:vc=Q\:RAY:gl=piece
"QCV/"		sp=subs:gn=m:vc=Q\:COV:gl=truth
"QTRS/"		sp=subs:gn=m:vc=QAT\:ROS:gl=zither
"R>C/"		sp=subs:gn=m:vc=R;>C:gl=head
"RB/"		sp=adjv:vc=RAB:gl=great
"RB=/"		sp=subs:gn=m:vc=RAB:gl=chief
"RBH["		sp=verb:vc=R\:B@H:gl=grow
"RBW/"		sp=subs:gn=f:vc=R\:BW.:gl=greatness
"RBW=/"		sp=subs:ls=mult:gn=f:vc=RIB.OW:gl=myriad
"RBJ<J/"	sp=adjv:ls=ordn:vc=R\:BIJ<@J:gl=fourth
"RBRBNJN/"	sp=subs:vc=RAB\:R\:B@NIJN:gl=lords
"RGZ["		sp=verb:vc=R\:GAZ:gl=be angry
"RGZ/"		sp=subs:gn=m:vc=R\:GAZ:gl=anger
"RGL/"		sp=subs:gn=f:vc=R\:GAL:gl=foot
"RGC["		sp=verb:vc=R\:GAC:gl=tremble
"RW/"		sp=subs:gn=m:vc=R;W:gl=appearance
"RWX/"		sp=subs:gn=f:vc=RW.XA:gl=wind
"RWM["		sp=verb:vc=RW.M:gl=be high
"RWM/"		sp=subs:gn=m:vc=RW.M:gl=height
"RZ/"		sp=subs:gn=m:vc=R@Z:gl=secret
"RXWM/"		sp=nmpr:sm=pers:gn=m:vc=R\:XW.M:gl=Rehum
"RXJQ/"		sp=adjv:vc=RAXIJQ:gl=far
"RXMJN/"	sp=subs:vc=RAX\:AMIJN:gl=mercy
"RXY["		sp=verb:vc=R\:XAY:gl=trust
"RJX/"		sp=subs:gn=f:vc=R;JXA:gl=smell
"RMH["		sp=verb:vc=R\:M@H:gl=throw
"R<W/"		sp=subs:vc=R\:<W.:gl=will
"R<JWN/"	sp=subs:gn=m:vc=RA<\:JOWN:gl=thought
"R<NN/"		sp=adjv:vc=RA<\:NAN:gl=flourishing
"R<<["		sp=verb:vc=R\:<A<:gl=break
"RPS["		sp=verb:vc=R\:PAS:gl=trample upon
"RCM["		sp=verb:vc=R\:CAM:gl=write
"FB/"		sp=subs:vc=F@B:gl=elder
"FBK>/"		sp=subs:gn=f:vc=FAB.\:K@>:gl=sambuca
"FG>["		sp=verb:vc=F\:G@>:gl=be much
"FGJ>/"		sp=adjv:vc=FAG.IJ>:gl=much
"FHDW/"		sp=subs:vc=F@H\:ADW.:gl=testimony
"FVR/"		sp=subs:gn=m:vc=F\:VAR:gl=side
"FJM["		sp=verb:vc=FIJM:gl=place
"FKL["		sp=verb:vc=F\:KAL:gl=consider
"FKLTNW/"	sp=subs:gn=f:vc=F@K\:L\:T@NW.:gl=insight
"FN>["		sp=verb:vc=F\:N@>:gl=hate
"F<R/"		sp=subs:gn=m:vc=F\:<AR:gl=hair
"C>L["		sp=verb:vc=C\:>;L:gl=ask
"C>LH/"		sp=subs:vc=C\:>;L@H:gl=question
"C>LTJ>L/"	sp=nmpr:sm=pers:gn=m:vc=C\:>AL\:T.IJ>;L:gl=Shealtiel
"C>R/"		sp=subs:gn=m:vc=C\:>@R:gl=rest
"CBX["		sp=verb:vc=C\:BAX:gl=praise
"CBV/"		sp=subs:vc=C\:BAV:gl=tribe
"CBJB/"		sp=subs:gn=m:vc=C\:BIJB:gl=flame
"CB</"		sp=subs:ls=card:vc=C\:BA<:gl=seven
"CBQ["		sp=verb:vc=C\:BAQ:gl=leave
"CBC["		sp=verb:vc=C\:BAC:gl=branch off
"CGL/"		sp=subs:vc=C;GAL:gl=concubine
"CDR["		sp=verb:vc=C\:DAR:gl=throw
"CDRK/"		sp=nmpr:sm=pers:gn=m:vc=CAD\:RAK\::gl=Shadrach
"CWH["		sp=verb:vc=C\:W@H:gl=be equal
"CWR/"		sp=subs:vc=CW.R:gl=wall
"CWCNKJ/"	sp=adjv:ls=gntl:vc=CW.CAN\:K@J:gl=man from Susa
"CXT["		sp=verb:vc=C\:XAT:gl=spoil
"CKX["		sp=verb:vc=C\:KAX:gl=find
"CKN["		sp=verb:vc=C\:K;N:gl=dwell
"CLH/"		sp=adjv:vc=C\:L;H:gl=carefree
"CLW/"		sp=subs:gn=f:vc=C@LW.:gl=negligence
"CLWH/"		sp=subs:vc=C\:L;W@H:gl=happiness
"CLX["		sp=verb:vc=C\:LAX:gl=send
"CLV["		sp=verb:vc=C\:L;V:gl=rule
"CLVN/"		sp=subs:gn=m:vc=C@L\:V@N:gl=official
"CLVN=/"	sp=subs:vc=CIL\:VON:gl=dominion
"CLJV/"		sp=adjv:vc=CAL.IJV:gl=mighty
"CLM["		sp=verb:vc=C\:L;M:gl=be finished
"CLM/"		sp=subs:gn=m:vc=C\:L@M:gl=well-being
"CM/"		sp=subs:gn=m:vc=CUM:gl=name
"CMD["		sp=verb:vc=C\:MAD:gl=exterminate
"CMJN/"		sp=subs:vc=C\:MAJIN:gl=heaven
"CMM["		sp=verb:vc=C\:MAM:gl=be astonished
"CM<["		sp=verb:vc=C\:MA<:gl=hear
"CMRJN/"	sp=nmpr:sm=topo:vc=C@M\:R@JIN:gl=Samaria
"CMC["		sp=verb:vc=C\:MAC:gl=serve
"CMC/"		sp=subs:gn=m:vc=C\:MAC:gl=sun
"CMCJ/"		sp=nmpr:sm=pers:gn=m:vc=CIM\:CAJ:gl=Shimshai
"CN/"		sp=subs:gn=f:vc=C;N:gl=tooth
"CNH["		sp=verb:vc=C\:N@H:gl=be different
"CNH/"		sp=subs:gn=f:vc=C\:N@H:gl=year
"CNH=/"		sp=subs:vc=C\:N@H:gl=sleep
"C<H/"		sp=subs:vc=C@<@H:gl=hour
"CPV["		sp=verb:vc=C\:PAV:gl=judge
"CPJR/"		sp=adjv:vc=CAP.IJR:gl=beautiful
"CPL["		sp=verb:vc=C\:P;L:gl=be low
"CPL/"		sp=adjv:vc=C\:PAL:gl=low
"CPR["		sp=verb:vc=C\:PAR:gl=please
"CPRPR/"	sp=subs:gn=m:vc=C\:PAR\:P.@R:gl=dawn
"CQ/"		sp=subs:gn=m:vc=C@Q:gl=leg
"CRH["		sp=verb:vc=C\:R@H:gl=loosen
"CRC/"		sp=subs:vc=C\:ROC:gl=root
"CRCJ/"		sp=subs:gn=f:vc=C\:ROCIJ:gl=banishment
"CCBYR/"	sp=nmpr:sm=pers:gn=m:vc=C;C\:B.AY.AR:gl=Sheshbazzar
"CT/"		sp=subs:ls=card:vc=C;T:gl=six
"CTH["		sp=verb:vc=C\:T@H:gl=drink
"CTJN/"		sp=subs:ls=card:vc=CIT.IJN:gl=sixty
"CTR_BWZNJ/"	sp=nmpr:sm=pers:gn=m:vc=C\:TAR_B.OWZ\:NAJ:gl=Shethar-Bozenai
"TBR["		sp=verb:vc=T.\:BAR:gl=break
"TGMWL/"	sp=subs:vc=T.AG\:MW.L:gl=benefit
"TDJR/"		sp=subs:ls=padv:gn=f:vc=T.\:DIJR:gl=constantly
"TWB["		sp=verb:vc=T.W.B:gl=return
"TWH["		sp=verb:vc=T.\:WAH.:gl=be amazed
"TWR/"		sp=subs:vc=T.OWR:gl=ox
"TXWT/"		sp=subs:ls=ppre:vc=T.\:XOWT:gl=underneath
"TLG/"		sp=subs:gn=m:vc=T.\:LAG:gl=snow
"TLJTJ/"	sp=adjv:ls=ordn:vc=T.\:LIJT@J:gl=third
"TLT/"		sp=subs:ls=card:vc=T.\:L@T:gl=three
"TLT=/"		sp=subs:gn=m:vc=T.\:L@T:gl=triumvir
"TLTJN/"	sp=subs:ls=card:vc=T.\:L@TIJN:gl=thirty
"TMH"		sp=advb:vc=T.AM.@H:gl=there
"TMH/"		sp=subs:vc=T.\:MAH.:gl=wonder
"TNJN/"		sp=adjv:ls=ordn:vc=T.IN\:J@N:gl=second
"TNJNWT"	sp=advb:vc=T.IN\:J@NW.T:gl=again
"TPTJ/"		sp=subs:vc=T.IP\:T.@J:gl=police officer
"TQJP/"		sp=adjv:vc=T.AQ.IJP:gl=strong
"TQL["		sp=verb:vc=T.\:QAL:gl=weigh
"TQL/"		sp=subs:gn=m:vc=T.\:Q;L:gl=shekel
"TQN["		sp=verb:vc=T.\:QAN:gl=be stable
"TQP["		sp=verb:vc=T.\:Q;P:gl=be strong
"TQP/"		sp=subs:gn=m:vc=T.\:QOP:gl=strength
"TQP=/"		sp=subs:gn=m:vc=T.\:QAP:gl=strength
"TRJN/"		sp=subs:ls=card:vc=T.\:R;JN:gl=two
"TR</"		sp=subs:gn=m:vc=T.\:RA<:gl=door
"TR<=/"		sp=subs:vc=T.@R@<:gl=door-keeper
"TTNJ/"		sp=nmpr:sm=pers:gn=m:vc=T.AT.\:NAJ:gl=Tattenai
